,head_full [m],head [m],rr [mm/d],tn [C],tx [C],stage [m],et [mm/d]
2002-11-14,150.9235,150.9235,0.7620,10.5556,-2.2222,1.1033,1.1235
2002-11-15,150.9570,150.9570,0.0000,14.4444,4.4444,1.0241,1.2266
2002-11-16,150.9723,150.9723,0.0000,5.5556,-0.5556,0.9814,0.7028
2002-11-17,151.0881,151.0881,54.6100,1.1111,-0.5556,1.2588,0.3230
2002-11-18,151.1704,151.1704,20.0660,5.5556,0.0000,1.3868,0.6665
2002-11-19,151.2344,151.2344,0.0000,4.4444,-1.1111,1.2527,0.6240
2002-11-20,151.2831,151.2831,1.7780,12.7778,-2.2222,1.1460,1.2085
2002-11-21,151.3228,151.3228,0.0000,7.7778,-2.7778,1.0850,0.8815
2002-11-22,151.3715,151.3715,8.6360,7.2222,3.8889,1.1003,0.5666
2002-11-23,151.3959,151.3959,5.5880,5.0000,-2.2222,1.1186,0.6767
2002-11-24,151.3898,151.3898,0.0000,8.8889,-2.7778,1.0942,0.9284
2002-11-25,151.3990,151.3990,0.0000,7.2222,-1.6667,1.0820,0.7929
2002-11-26,151.4142,151.4142,0.0000,6.1111,-2.2222,1.0271,0.7303
2002-11-27,151.4477,151.4477,13.2080,1.6667,-6.1111,1.0302,0.5503
2002-11-28,151.4569,151.4569,0.7620,-2.2222,-13.3333,1.0180,0.4179
2002-11-29,151.4843,151.4843,0.0000,-0.5556,-7.2222,0.9997,0.4477
2002-11-30,151.5056,151.5056,3.8100,6.1111,-2.7778,1.0149,0.7223
2002-12-01,151.5087,151.5087,0.0000,1.6667,-6.6667,1.0119,0.5439
2002-12-02,151.5056,151.5056,0.0000,1.1111,-6.1111,0.9966,0.5032
2002-12-03,151.5148,151.5148,0.7620,-1.6667,-13.3333,0.9845,0.4260
2002-12-04,151.5117,151.5117,0.0000,-2.2222,-10.5556,0.9509,0.3970
2002-12-05,151.5453,151.5453,0.0000,-5.5556,-8.3333,0.9509,0.2168
2002-12-06,151.5453,151.5453,9.1440,0.0000,-13.3333,0.9753,0.4847
2002-12-07,151.5453,151.5453,0.0000,0.5556,-16.1111,0.9631,0.4850
2002-12-08,151.5483,151.5483,0.0000,3.3333,-12.2222,0.9631,0.6236
2002-12-09,151.5331,151.5331,0.0000,-5.0000,-15.5556,0.9601,0.2866
2002-12-10,151.5514,151.5514,0.0000,2.7778,-12.7778,1.0119,0.5927
2002-12-11,151.5818,151.5818,0.0000,1.6667,-10.5556,0.9509,0.5466
2002-12-12,151.6184,151.6184,17.0180,4.4444,-0.5556,1.1795,0.5183
2002-12-13,151.7007,151.7007,0.0000,4.4444,-3.3333,1.1887,0.5986
2002-12-14,151.8379,151.8379,21.0820,5.0000,1.1111,1.4142,0.4809
2002-12-15,151.9933,151.9933,6.0960,5.0000,0.0000,1.5300,0.5294
2002-12-16,152.1030,152.1030,1.0160,1.1111,-5.5556,1.3807,0.4662
2002-12-17,152.1701,152.1701,1.2700,-2.7778,-12.2222,1.2710,0.3646
2002-12-18,152.2280,152.2280,0.0000,4.4444,-13.3333,1.1582,0.6498
2002-12-19,152.2920,152.2920,0.0000,6.1111,-10.0000,1.1338,0.7357
2002-12-20,152.3834,152.3834,1.2700,8.8889,1.6667,1.3532,0.7216
2002-12-21,152.5236,152.5236,14.7320,5.5556,-2.2222,1.9781,0.6296
2002-12-22,152.6516,152.6516,0.0000,7.7778,0.0000,1.6641,0.7033
2002-12-23,152.7217,152.7217,0.0000,3.3333,0.5556,1.4538,0.3822
2002-12-24,152.7644,152.7644,0.0000,1.6667,-2.2222,1.3380,0.4010
2002-12-25,152.8558,152.8558,1.5240,-1.1111,-3.8889,1.2923,0.2957
2002-12-26,152.8467,152.8467,28.7020,0.0000,-5.5556,1.2984,0.4113
2002-12-27,152.8162,152.8162,0.0000,1.6667,-5.0000,1.2466,0.4855
2002-12-28,152.8345,152.8345,0.0000,0.0000,-5.5556,1.2039,0.4133
2002-12-29,152.8345,152.8345,0.0000,3.3333,-6.1111,1.1734,0.5912
2002-12-30,152.8071,152.8071,0.0000,1.1111,-4.4444,1.1521,0.4471
2002-12-31,152.8162,152.8162,5.5880,4.4444,-2.7778,1.1551,0.5924
2003-01-01,152.8375,152.8375,0.5080,3.8889,0.0000,1.2313,0.4629
2003-01-02,152.9747,152.9747,39.8780,0.0000,-5.5556,1.7617,0.4209
2003-01-03,153.1240,153.1240,0.7620,-2.7778,-6.1111,1.6336,0.2907
2003-01-04,153.1911,153.1911,25.1460,-1.1111,-3.3333,1.4782,0.2788
2003-01-05,153.1911,153.1911,0.0000,0.0000,-5.5556,1.3807,0.4272
2003-01-06,153.2094,153.2094,3.8100,-1.6667,-6.6667,1.3228,0.3694
2003-01-07,153.2094,153.2094,3.5560,-4.4444,-12.7778,1.2801,0.3219
2003-01-08,153.2277,153.2277,0.7620,2.2222,-7.7778,1.2527,0.5833
2003-01-09,153.2124,153.2124,0.2540,5.5556,-1.6667,1.2466,0.6587
2003-01-10,153.1759,153.1759,0.0000,3.3333,-10.0000,1.2374,0.6569
2003-01-11,153.1606,153.1606,0.2540,-2.7778,-9.4444,1.1978,0.3770
2003-01-12,153.1332,153.1332,0.0000,-1.1111,-11.6667,1.1765,0.4664
2003-01-13,153.1180,153.1180,0.0000,-0.5556,-13.8889,1.1490,0.4892
2003-01-14,153.0997,153.0997,0.0000,-6.6667,-15.0000,1.1338,0.2558
2003-01-15,153.0722,153.0722,0.0000,-4.4444,-16.1111,1.1155,0.3297
2003-01-16,153.0448,153.0448,0.0000,-3.8889,-12.2222,1.0942,0.3647
2003-01-17,153.0326,153.0326,0.0000,-2.2222,-17.2222,1.1033,0.4084
2003-01-18,152.9899,152.9899,0.0000,-7.2222,-20.5556,1.0850,0.1873
2003-01-19,152.9747,152.9747,0.0000,-5.5556,-21.6667,1.0881,0.2226
2003-01-20,152.9747,152.9747,0.0000,-2.7778,-16.1111,1.0789,0.4092
2003-01-21,152.9290,152.9290,0.0000,-7.7778,-14.4444,1.0728,0.2335
2003-01-22,152.8985,152.8985,0.0000,-10.5556,-18.3333,1.0728,0.1273
2003-01-23,152.8680,152.8680,0.0000,-11.1111,-17.7778,1.0637,0.1190
2003-01-24,152.8406,152.8406,0.0000,-7.7778,-18.3333,1.0546,0.2141
2003-01-25,152.7857,152.7857,0.0000,-3.3333,-14.4444,1.0241,0.4184
2003-01-26,152.7614,152.7614,0.0000,-2.2222,-13.8889,1.0210,0.4740
2003-01-27,152.7431,152.7431,1.2700,-5.5556,-19.4444,1.0302,0.2830
2003-01-28,152.6943,152.6943,0.0000,-7.2222,-21.6667,1.1277,0.1843
2003-01-29,152.6760,152.6760,0.0000,-2.2222,-10.5556,1.0241,0.4848
2003-01-30,152.6364,152.6364,0.2540,-0.5556,-15.5556,1.0424,0.5606
2003-01-31,152.6212,152.6212,0.0000,1.1111,-9.4444,1.0180,0.6675
2003-02-01,152.6181,152.6181,1.2700,0.0000,-1.6667,1.0210,0.3348
2003-02-02,152.6151,152.6151,0.0000,3.8889,0.0000,1.0424,0.6033
2003-02-03,152.5754,152.5754,0.0000,7.2222,-1.1111,1.0546,0.9442
2003-02-04,152.5785,152.5785,0.5080,5.0000,-0.5556,1.0942,0.7479
2003-02-05,152.5663,152.5663,9.1440,0.5556,-8.8889,1.1856,0.6675
2003-02-06,152.5571,152.5571,0.0000,-2.2222,-12.7778,1.1308,0.5375
2003-02-07,152.5907,152.5907,2.2860,-1.6667,-10.5556,1.0911,0.5669
2003-02-08,152.5815,152.5815,6.6040,-2.7778,-17.7778,1.0789,0.4775
2003-02-09,152.5632,152.5632,0.0000,0.5556,-11.1111,1.0698,0.7124
2003-02-10,152.5663,152.5663,0.0000,0.5556,-10.0000,1.0667,0.7163
2003-02-11,152.5693,152.5693,5.0800,-3.3333,-14.4444,1.0363,0.5046
2003-02-12,152.5480,152.5480,0.2540,-2.7778,-17.2222,1.0363,0.5089
2003-02-13,152.5267,152.5267,0.0000,-7.7778,-22.7778,1.0302,0.1688
2003-02-14,152.5053,152.5053,0.0000,-5.5556,-25.0000,1.0241,0.1944
2003-02-15,152.4840,152.4840,0.0000,-7.2222,-17.2222,1.0271,0.3129
2003-02-16,152.4535,152.4535,0.0000,-9.4444,-17.2222,1.0088,0.2233
2003-02-17,152.4779,152.4779,0.7620,-7.7778,-12.7778,1.2770,0.3059
2003-02-18,152.4718,152.4718,35.8140,-1.1111,-8.3333,1.4874,0.6500
2003-02-19,152.4322,152.4322,0.2540,4.4444,-12.7778,1.3532,1.0591
2003-02-20,152.4169,152.4169,0.0000,7.2222,-5.5556,1.1277,1.2673
2003-02-21,152.4078,152.4078,0.0000,12.2222,-9.4444,1.0485,1.7200
2003-02-22,152.4383,152.4383,0.0000,2.2222,0.0000,1.0881,0.5490
2003-02-23,152.5450,152.5450,37.8460,3.8889,-5.0000,1.5056,1.0111
2003-02-24,152.6577,152.6577,7.1120,0.5556,-8.3333,1.5879,0.8225
2003-02-25,152.7187,152.7187,0.0000,-5.0000,-14.4444,1.4782,0.4952
2003-02-26,152.7705,152.7705,0.0000,-6.1111,-19.4444,1.3593,0.3689
2003-02-27,152.8132,152.8132,0.0000,-0.5556,-18.8889,1.2740,0.7057
2003-02-28,152.8315,152.8315,0.0000,2.2222,-13.3333,1.2069,1.0003
2003-03-01,152.8284,152.8284,0.0000,3.3333,-10.0000,1.1704,1.1087
2003-03-02,152.8772,152.8772,1.0160,2.7778,-1.1111,1.2588,0.7829
2003-03-03,152.9137,152.9137,19.8120,-0.5556,-18.3333,1.4813,0.7516
2003-03-04,152.9595,152.9595,0.0000,1.6667,-21.1111,1.3715,0.8313
2003-03-05,153.0082,153.0082,0.0000,5.5556,-4.4444,1.3075,1.2777
2003-03-06,153.0143,153.0143,4.8260,0.5556,-15.0000,1.3228,0.9215
2003-03-07,153.0052,153.0052,11.6840,-1.1111,-23.3333,1.2801,0.5843
2003-03-08,153.0204,153.0204,0.0000,7.7778,-6.6667,1.2496,1.5857
2003-03-09,153.0357,153.0357,0.0000,7.2222,-10.5556,1.2618,1.5593
2003-03-10,153.0143,153.0143,0.0000,-5.0000,-16.6667,1.2649,0.5465
2003-03-11,153.0082,153.0082,0.0000,2.2222,-19.4444,1.2191,0.9945
2003-03-12,153.0113,153.0113,0.0000,8.3333,-3.8889,1.2009,1.6613
2003-03-13,152.9991,152.9991,0.0000,1.6667,-6.1111,1.1978,1.0373
2003-03-14,152.9869,152.9869,8.3820,-0.5556,-10.5556,1.1795,0.9309
2003-03-15,152.9686,152.9686,0.0000,9.4444,-5.0000,1.1734,1.8614
2003-03-16,152.9686,152.9686,0.0000,16.6667,-3.8889,1.2374,2.7200
2003-03-17,153.0418,153.0418,0.0000,20.0000,-0.5556,1.4416,3.1352
2003-03-18,153.1698,153.1698,0.0000,16.6667,0.0000,1.6489,2.7031
2003-03-19,153.3039,153.3039,0.0000,6.6667,-3.3333,1.7220,1.5648
2003-03-20,153.3801,153.3801,0.0000,3.3333,-3.3333,1.6001,1.1775
2003-03-21,153.5172,153.5172,33.7820,19.4444,1.6667,1.9781,3.1231
2003-03-22,153.5568,153.5568,3.3020,17.2222,0.5556,2.1853,2.8681
2003-03-23,153.5568,153.5568,0.0000,8.3333,-1.6667,2.0207,1.7660
2003-03-24,153.5355,153.5355,0.0000,15.5556,-3.3333,1.8074,2.7784
2003-03-25,153.5020,153.5020,0.0000,14.4444,-2.2222,1.6733,2.6332
2003-03-26,153.5081,153.5081,0.0000,17.2222,-1.6667,1.5788,3.0300
2003-03-27,153.4928,153.4928,5.5880,15.0000,-0.5556,1.5849,2.7121
2003-03-28,153.4654,153.4654,0.0000,16.1111,-2.2222,1.5087,2.9359
2003-03-29,153.4471,153.4471,0.7620,20.5556,6.6667,1.4660,3.2923
2003-03-30,153.5721,153.5721,17.5260,7.2222,-1.1111,1.8744,1.6904
2003-03-31,153.6269,153.6269,4.8260,2.7778,-5.0000,1.8287,1.3125
2003-04-01,153.6056,153.6056,0.2540,3.3333,-5.5556,1.6215,1.4145
2003-04-02,153.5812,153.5812,0.7620,10.5556,-2.2222,1.5178,2.2615
2003-04-03,153.5355,153.5355,0.0000,5.5556,0.0000,1.4721,1.4062
2003-04-04,153.5020,153.5020,3.5560,1.6667,-3.8889,1.4843,1.1451
2003-04-05,153.4776,153.4776,5.5880,0.5556,-3.8889,1.4660,0.9972
2003-04-06,153.4654,153.4654,1.2700,2.7778,-4.4444,1.4508,1.3481
2003-04-07,153.4166,153.4166,0.0000,0.0000,-4.4444,1.3868,0.9769
2003-04-08,153.4105,153.4105,8.1280,0.5556,-3.8889,1.3654,1.0197
2003-04-09,153.3892,153.3892,0.0000,1.1111,-1.1111,1.3685,0.8026
2003-04-10,153.4014,153.4014,3.3020,12.2222,-2.2222,1.3715,2.6521
2003-04-11,153.4441,153.4441,0.0000,5.0000,0.0000,1.4203,1.3957
2003-04-12,153.4959,153.4959,18.0340,17.7778,5.0000,1.5971,3.2576
2003-04-13,153.5020,153.5020,1.7780,13.8889,1.1111,1.5422,2.8322
2003-04-14,153.4776,153.4776,0.0000,17.2222,-3.3333,1.4294,3.5348
2003-04-15,153.4563,153.4563,0.0000,28.3333,6.1111,1.3593,5.2876
2003-04-16,153.4319,153.4319,0.0000,30.0000,4.4444,1.3167,5.7067
2003-04-17,153.3557,153.3557,0.0000,8.8889,-0.5556,1.2710,2.1626
2003-04-18,153.3069,153.3069,0.0000,11.1111,-1.6667,1.2435,2.5964
2003-04-19,153.2764,153.2764,0.0000,17.7778,-1.1111,1.2313,3.6979
2003-04-20,153.2460,153.2460,0.0000,20.5556,-1.1111,1.2130,4.2014
2003-04-21,153.2216,153.2216,0.0000,20.0000,0.0000,1.2009,4.1023
2003-04-22,153.1941,153.1941,2.0320,10.0000,5.5556,1.2222,1.7857
2003-04-23,153.1850,153.1850,7.6200,8.3333,1.1111,1.2313,2.0098
2003-04-24,153.1637,153.1637,0.0000,12.2222,1.1111,1.1887,2.7280
2003-04-25,153.1271,153.1271,0.0000,19.4444,-2.2222,1.1673,4.1422
2003-04-26,153.1301,153.1301,2.7940,10.5556,7.7778,1.2466,1.5232
2003-04-27,153.1881,153.1881,22.3520,18.8889,5.5556,1.4112,3.7453
2003-04-28,153.2277,153.2277,0.0000,26.6667,1.6667,1.2984,5.4986
2003-04-29,153.2307,153.2307,0.0000,24.4444,6.6667,1.2252,4.8688
2003-04-30,153.2002,153.2002,0.0000,20.5556,4.4444,1.1795,4.2185
2003-05-01,153.1728,153.1728,0.0000,20.5556,5.5556,1.1734,4.1670
2003-05-02,153.1606,153.1606,1.0160,25.0000,8.8889,1.1795,4.9036
2003-05-03,153.1362,153.1362,29.7180,18.3333,3.8889,1.2069,3.8595
2003-05-04,153.0997,153.0997,0.0000,18.3333,-0.5556,1.1765,4.0836
2003-05-05,153.0783,153.0783,0.0000,17.7778,0.5556,1.1521,3.9580
2003-05-06,153.0570,153.0570,2.7940,13.3333,3.8889,1.1338,2.8812
2003-05-07,153.0448,153.0448,0.0000,24.4444,6.1111,1.1308,5.0806
2003-05-08,153.0113,153.0113,6.6040,14.4444,7.7778,1.1429,2.6778
2003-05-09,152.9930,152.9930,4.5720,20.0000,6.6667,1.1551,4.1028
2003-05-10,152.9778,152.9778,0.0000,23.3333,2.7778,1.1308,5.0666
2003-05-11,152.9595,152.9595,0.0000,18.8889,6.6667,1.1003,3.8850
2003-05-12,152.9473,152.9473,5.8420,16.1111,7.2222,1.1338,3.2009
2003-05-13,152.9198,152.9198,0.2540,12.7778,7.2222,1.1643,2.3920
2003-05-14,152.8802,152.8802,0.7620,17.7778,7.7778,1.1186,3.5513
2003-05-15,152.8406,152.8406,0.0000,21.1111,8.3333,1.0881,4.2917
2003-05-16,152.8040,152.8040,0.0000,13.8889,5.5556,1.0728,2.9284
2003-05-17,152.7827,152.7827,0.0000,17.2222,3.8889,1.0637,3.8312
2003-05-18,152.7614,152.7614,0.0000,22.2222,-1.1111,1.0454,5.0835
2003-05-19,152.7370,152.7370,0.0000,26.1111,1.6667,1.0302,5.8504
2003-05-20,152.7126,152.7126,0.0000,26.6667,4.4444,1.0149,5.8975
2003-05-21,152.6913,152.6913,0.0000,14.4444,7.2222,1.0119,2.8809
2003-05-22,152.6638,152.6638,0.0000,11.6667,7.7778,1.0210,2.0352
2003-05-23,152.6425,152.6425,5.3340,11.1111,7.7778,1.0393,1.8694
2003-05-24,152.6333,152.6333,6.8580,10.0000,7.7778,1.0607,1.4981
2003-05-25,152.6303,152.6303,3.3020,16.6667,8.3333,1.0911,3.3128
2003-05-26,152.7095,152.7095,40.6400,11.1111,9.4444,1.4203,1.3730
2003-05-27,152.9869,152.9869,3.5560,18.3333,7.7778,1.7464,3.8156
2003-05-28,153.1515,153.1515,1.2700,18.8889,10.5556,1.4660,3.5865
2003-05-29,153.2307,153.2307,4.5720,21.6667,9.4444,1.3868,4.4671
2003-05-30,153.2582,153.2582,0.0000,23.8889,11.6667,1.2831,4.7838
2003-05-31,153.2429,153.2429,0.0000,18.8889,10.0000,1.2130,3.6923
2003-06-01,153.2764,153.2764,40.1320,21.1111,13.8889,1.4325,3.6605
2003-06-02,153.3222,153.3222,3.5560,16.6667,6.6667,1.4843,3.5812
2003-06-03,153.3161,153.3161,0.0000,21.6667,7.7778,1.3197,4.6789
2003-06-04,153.2947,153.2947,2.5400,22.2222,11.1111,1.2313,4.4498
2003-06-05,153.3039,153.3039,7.3660,15.0000,11.6667,1.3228,2.1975
2003-06-06,153.3039,153.3039,4.0640,19.4444,10.0000,1.3014,3.8739
2003-06-07,153.2825,153.2825,0.0000,25.5556,11.6667,1.2679,5.2853
2003-06-08,153.3008,153.3008,11.4300,17.7778,11.6667,1.4691,3.1231
2003-06-09,153.3039,153.3039,0.0000,19.4444,12.7778,1.3715,3.4092
2003-06-10,153.2917,153.2917,0.2540,23.8889,12.2222,1.2770,4.7817
2003-06-11,153.2368,153.2368,0.0000,26.1111,13.3333,1.2069,5.2495
2003-06-12,153.1972,153.1972,0.0000,23.8889,16.1111,1.1978,4.1300
2003-06-13,153.2825,153.2825,35.3060,23.8889,16.1111,1.5575,4.1326
2003-06-14,153.3923,153.3923,23.8760,24.4444,12.7778,1.5453,4.8716
2003-06-15,153.4014,153.4014,1.5240,26.6667,12.2222,1.3807,5.5517
2003-06-16,153.3679,153.3679,0.0000,25.0000,12.2222,1.2679,5.1026
2003-06-17,153.3069,153.3069,0.0000,20.0000,10.5556,1.2069,3.9736
2003-06-18,153.2642,153.2642,6.0960,22.7778,11.6667,1.2649,4.5728
2003-06-19,153.2673,153.2673,6.0960,18.3333,13.3333,1.3350,2.9423
2003-06-20,153.2582,153.2582,0.5080,25.5556,16.6667,1.2710,4.5618
2003-06-21,153.2094,153.2094,1.0160,21.6667,14.4444,1.2191,3.7777
2003-06-22,153.2063,153.2063,17.5260,22.2222,11.6667,1.3868,4.4201
2003-06-23,153.2886,153.2886,27.1780,17.2222,12.7778,1.7464,2.7020
2003-06-24,153.3069,153.3069,2.5400,28.3333,15.5556,1.5483,5.5867
2003-06-25,153.2978,153.2978,0.0000,33.3333,15.5556,1.3593,7.0183
2003-06-26,153.2490,153.2490,0.0000,32.7778,19.4444,1.2405,6.3249
2003-06-27,153.1759,153.1759,0.0000,35.0000,20.5556,1.1704,6.8401
2003-06-28,153.0966,153.0966,0.0000,33.3333,17.2222,1.1186,6.8066
2003-06-29,153.0143,153.0143,0.0000,29.4444,15.0000,1.0850,5.9656
2003-06-30,152.9564,152.9564,0.0000,28.3333,16.6667,1.0698,5.3955
2003-07-01,152.8985,152.8985,0.0000,29.4444,12.2222,1.0576,6.2684
2003-07-02,152.8467,152.8467,0.0000,28.3333,12.7778,1.0302,5.9070
2003-07-03,152.7888,152.7888,0.0000,29.4444,15.5556,1.0058,5.8691
2003-07-04,152.7400,152.7400,0.0000,27.7778,15.5556,0.9997,5.3811
2003-07-05,152.6882,152.6882,0.0000,34.4444,14.4444,0.9845,7.3783
2003-07-06,152.6364,152.6364,0.0000,35.0000,15.5556,0.9723,7.4144
2003-07-07,152.5785,152.5785,0.0000,32.7778,17.2222,0.9509,6.5775
2003-07-08,152.5328,152.5328,2.2860,30.0000,19.4444,0.9448,5.3734
2003-07-09,152.4840,152.4840,0.0000,31.1111,17.7778,0.9448,5.9883
2003-07-10,152.4413,152.4413,13.9700,21.6667,12.7778,0.9723,4.0185
2003-07-11,152.4078,152.4078,1.2700,25.5556,15.0000,0.9601,4.7665
2003-07-12,152.3804,152.3804,6.0960,20.0000,15.0000,1.0119,3.0273
2003-07-13,152.3407,152.3407,0.0000,27.7778,14.4444,0.9906,5.4574
2003-07-14,152.2920,152.2920,0.0000,26.1111,14.4444,0.9570,4.9813
2003-07-15,152.2676,152.2676,0.0000,25.5556,14.4444,0.9387,4.8140
2003-07-16,152.2402,152.2402,0.2540,29.4444,15.5556,0.9296,5.7391
2003-07-17,152.2066,152.2066,3.8100,27.2222,14.4444,0.9357,5.2562
2003-07-18,152.1762,152.1762,0.0000,27.7778,15.5556,0.9570,5.2430
2003-07-19,152.1609,152.1609,9.6520,28.8889,16.6667,1.0485,5.3827
2003-07-20,152.1304,152.1304,0.0000,27.7778,12.7778,1.0332,5.5676
2003-07-21,152.1091,152.1091,0.0000,28.3333,17.2222,0.9723,5.1049
2003-07-22,152.1091,152.1091,6.0960,24.4444,18.3333,1.1125,3.6412
2003-07-23,152.1487,152.1487,23.8760,28.8889,18.8889,1.2618,4.9525
2003-07-24,152.1701,152.1701,7.1120,26.1111,20.5556,1.1551,3.6294
2003-07-25,152.1701,152.1701,0.2540,27.7778,16.1111,1.0759,5.0594
2003-07-26,152.1701,152.1701,0.0000,28.8889,12.2222,1.0180,5.8095
2003-07-27,152.1701,152.1701,0.0000,28.8889,13.3333,0.9784,5.6782
2003-07-28,152.1548,152.1548,0.0000,30.0000,15.0000,0.9479,5.7632
2003-07-29,152.1183,152.1183,0.0000,27.2222,17.2222,0.9205,4.6557
2003-07-30,152.0817,152.0817,0.0000,28.3333,14.4444,0.8991,5.3492
2003-07-31,152.0482,152.0482,0.0000,29.4444,14.4444,0.8808,5.6202
2003-08-01,152.0329,152.0329,3.3020,18.8889,16.6667,0.9205,1.9214
2003-08-02,152.0238,152.0238,9.6520,27.2222,16.6667,1.1551,4.6788
2003-08-03,152.0024,152.0024,0.7620,26.1111,21.1111,1.0667,3.3474
2003-08-04,152.0024,152.0024,2.7940,26.1111,20.5556,1.0485,3.4896
2003-08-05,151.9994,151.9994,47.2440,26.1111,20.0000,1.1429,3.6192
2003-08-06,151.9994,151.9994,16.0020,26.1111,18.8889,1.2161,3.8624
2003-08-07,152.0055,152.0055,1.0160,27.2222,18.3333,1.1155,4.2969
2003-08-08,152.0390,152.0390,4.3180,23.3333,18.8889,1.3929,2.8960
2003-08-09,152.0695,152.0695,0.7620,26.1111,20.5556,1.2405,3.4144
2003-08-10,152.0939,152.0939,18.2880,26.1111,20.5556,1.1551,3.3985
2003-08-11,152.0939,152.0939,1.7780,27.2222,20.5556,1.1186,3.7573
2003-08-12,152.0908,152.0908,2.7940,28.3333,20.5556,1.0637,4.0946
2003-08-13,152.0786,152.0786,0.0000,29.4444,20.0000,1.0271,4.5204
2003-08-14,152.0603,152.0603,0.0000,28.8889,17.2222,0.9997,4.7951
2003-08-15,152.0451,152.0451,0.0000,29.4444,15.5556,0.9692,5.1313
2003-08-16,152.0360,152.0360,0.0000,28.8889,16.6667,0.9479,4.8225
2003-08-17,151.9994,151.9994,12.7000,25.5556,16.6667,0.9387,3.9162
2003-08-18,151.9689,151.9689,26.1620,24.4444,13.8889,0.9326,4.0245
2003-08-19,151.9445,151.9445,0.0000,27.2222,14.4444,0.9570,4.6091
2003-08-20,151.9171,151.9171,0.0000,28.3333,14.4444,0.9265,4.8492
2003-08-21,151.8958,151.8958,0.0000,28.3333,15.0000,0.9083,4.7584
2003-08-22,151.8775,151.8775,0.0000,30.0000,18.3333,0.8930,4.7164
2003-08-23,151.8500,151.8500,0.0000,24.4444,12.2222,0.8808,4.1082
2003-08-24,151.8196,151.8196,0.0000,22.2222,7.2222,0.8595,4.0571
2003-08-25,151.7952,151.7952,0.0000,25.5556,11.6667,0.8534,4.3597
2003-08-26,151.7769,151.7769,0.0000,25.5556,13.8889,0.8473,4.0959
2003-08-27,151.7586,151.7586,0.0000,26.6667,16.6667,0.8382,3.9702
2003-08-28,151.7220,151.7220,0.0000,22.7778,10.5556,0.8321,3.7897
2003-08-29,151.6916,151.6916,0.0000,25.0000,8.3333,0.8260,4.3959
2003-08-30,151.6733,151.6733,0.2540,23.3333,13.3333,0.8229,3.5511
2003-08-31,151.6336,151.6336,0.0000,20.5556,7.2222,0.8168,3.5561
2003-09-01,151.6093,151.6093,0.5080,20.5556,7.7778,0.8168,3.4880
2003-09-02,151.6336,151.6336,72.3900,17.7778,11.6667,1.2039,2.4379
2003-09-03,151.6458,151.6458,9.1440,16.1111,11.6667,1.1490,2.0095
2003-09-04,151.6611,151.6611,9.6520,17.2222,13.3333,1.0424,1.9503
2003-09-05,151.6550,151.6550,1.7780,21.1111,13.8889,1.0180,2.8212
2003-09-06,151.6428,151.6428,0.0000,22.2222,8.8889,0.9723,3.5880
2003-09-07,151.6397,151.6397,0.0000,23.3333,8.3333,0.9357,3.8088
2003-09-08,151.6245,151.6245,0.0000,24.4444,8.3333,0.9083,3.9834
2003-09-09,151.6032,151.6032,0.0000,22.7778,10.0000,0.8900,3.5195
2003-09-10,151.5940,151.5940,0.0000,20.0000,5.0000,0.8717,3.3399
2003-09-11,151.5757,151.5757,0.0000,22.7778,5.5556,0.8564,3.7509
2003-09-12,151.5483,151.5483,0.0000,24.4444,8.3333,0.8412,3.8564
2003-09-13,151.5300,151.5300,0.0000,21.1111,8.3333,0.8321,3.2345
2003-09-14,151.5331,151.5331,4.5720,18.3333,14.4444,0.9418,1.8629
2003-09-15,151.5270,151.5270,5.5880,23.3333,17.7778,0.9022,2.4865
2003-09-16,151.5392,151.5392,24.1300,23.3333,18.3333,1.0393,2.3560
2003-09-17,151.5331,151.5331,0.0000,22.7778,7.2222,1.0058,3.4776
2003-09-18,151.5361,151.5361,0.0000,22.7778,7.2222,0.9570,3.4467
2003-09-19,151.5696,151.5696,17.2720,21.6667,12.2222,1.0698,2.8245
2003-09-20,151.5818,151.5818,16.0020,24.4444,17.2222,1.1064,2.7316
2003-09-21,151.5940,151.5940,0.0000,25.0000,8.3333,1.0180,3.6534
2003-09-22,151.6062,151.6062,0.0000,21.6667,7.7778,0.9692,3.1118
2003-09-23,151.6611,151.6611,2.0320,19.4444,7.7778,1.3045,2.7258
2003-09-24,151.6946,151.6946,38.3540,20.0000,6.6667,1.5727,2.8600
2003-09-25,151.7342,151.7342,0.0000,20.5556,7.2222,1.2374,2.8845
2003-09-26,151.7434,151.7434,9.3980,22.2222,10.0000,1.1247,2.9330
2003-09-27,151.7495,151.7495,0.0000,15.0000,11.6667,1.0942,1.3887
2003-09-28,151.7738,151.7738,26.6700,23.3333,15.0000,1.1094,2.5959
2003-09-29,151.7708,151.7708,27.1780,18.8889,8.3333,1.2435,2.4446
2003-09-30,151.7708,151.7708,0.7620,16.1111,4.4444,1.1612,2.2669
2003-10-01,151.7799,151.7799,0.0000,15.0000,3.8889,1.1094,2.1231
2003-10-02,151.7891,151.7891,0.0000,12.2222,1.6667,1.0698,1.8557
2003-10-03,151.7769,151.7769,0.0000,12.7778,-1.1111,1.0485,2.0099
2003-10-04,151.7891,151.7891,0.0000,11.6667,-0.5556,1.0302,1.8434
2003-10-05,151.7799,151.7799,4.5720,13.3333,0.5556,1.0332,1.9785
2003-10-06,151.7647,151.7647,0.2540,11.6667,-1.6667,1.0210,1.8391
